2B,410,8,2966,6,2990,,0,CR2
2B,410,6,2966,8,2990,,0,CR2
2B,410,6,2966,7,2990,,0,CR2
2B,410,7,2966,6,2990,,0,CR2
2B,410,6,2966,5,2990,,0,CR2
2B,410,5,2966,6,2990,,0,CR2
2B,410,6,2966,4,2990,,0,CR2
2B,410,4,2966,6,2990,,0,CR2
2B,410,7,2966,5,2990,,0,CR2
2B,410,5,2966,7,2990,,0,CR2
2B,410,4,2966,7,2990,,0,CR2
2B,410,7,2966,4,2990,,0,CR2
2B,410,4,2966,5,2990,,0,CR2
2B,410,5,2966,4,2990,,0,CR2
2B,410,4,2966,3,2990,,0,CR2
2B,410,3,2966,4,2990,,0,CR2
2B,410,5,2966,3,2990,,0,CR2
2B,410,3,2966,5,2990,,0,CR2
2B,410,3,2966,2,2990,,0,CR2
2B,410,2,2966,3,2990,,0,CR2
2B,410,3,2966,0,2990,,0,CR2
2B,410,0,2966,3,2990,,0,CR2
2B,410,2,2966,0,2990,,0,CR2
2B,410,0,2966,2,2990,,0,CR2
2B,410,2,2966,1,2990,,0,CR2
2B,410,1,2966,2,2990,,0,CR2
2B,410,0,2966,1,2990,,0,CR2
2B,410,1,2966,0,2990,,0,CR2
